,id,n,countYes,rateYes,acceptance
0,1,854,415,48.59,1
1,2,3783,1947,51.47,1
2,3,2264,1135,50.13,1
3,4,1478,699,47.29,1
4,5,1594,732,45.92,1
5,6,402,234,58.21,1
6,7,812,429,52.83,1
7,8,276,147,53.26,1
8,9,1955,993,50.79,1
9,10,1870,1047,55.99,1
10,11,1193,605,50.71,1
11,12,465,213,45.81,1
12,13,1465,795,54.27,1
13,14,2125,1012,47.62,1
14,21,301,217,72.09,1
15,22,387,233,60.21,1
16,23,336,216,64.29,1
17,24,425,272,64.0,1
18,25,867,451,52.02,1
19,26,310,217,70.0,1
20,27,1211,698,57.64,1
21,28,597,398,66.67,1
22,29,651,314,48.23,1
23,30,984,503,51.12,1
24,31,1009,564,55.9,1
25,32,249,155,62.25,1
26,33,885,526,59.44,1
27,34,724,413,57.04,1
28,35,935,599,64.06,1
29,36,560,312,55.71,1
30,37,596,343,57.55,1
31,38,588,282,47.96,1
32,39,381,261,68.5,1
33,40,451,296,65.63,1
34,41,244,157,64.34,1
35,42,425,218,51.29,1
36,43,127,73,57.48,1
37,44,340,216,63.53,1
38,51,1275,701,54.98,1
39,52,3781,2112,55.86,1
40,53,5882,3285,55.85,1
41,54,2610,1378,52.8,1
42,55,1895,995,52.51,1
43,56,2868,1708,59.55,1
44,57,1025,563,54.93,1
45,58,1677,1008,60.11,1
46,59,813,531,65.31,1
47,60,739,511,69.15,1
48,61,470,283,60.21,1
49,62,5053,2997,59.31,1
50,63,737,448,60.79,1
51,64,2451,1459,59.53,1
52,65,504,331,65.67,1
53,66,3425,1992,58.16,1
54,67,1698,941,55.42,1
55,68,748,429,57.35,1
56,69,4747,2386,50.26,1
57,70,285,179,62.81,1
58,71,641,395,61.62,1
59,72,1885,1095,58.09,1
60,81,279,192,68.82,1
61,82,572,316,55.24,1
62,83,1995,1191,59.7,1
63,84,1172,736,62.8,1
64,85,662,420,63.44,1
65,86,1890,1103,58.36,1
66,87,310,223,71.94,1
67,88,1407,842,59.84,1
68,89,1506,989,65.67,1
69,90,2820,1756,62.27,1
70,91,1114,579,51.97,1
71,92,1532,954,62.27,1
72,93,697,422,60.55,1
73,94,993,532,53.58,1
74,95,228,106,46.49,1
75,96,4830,2999,62.09,1
76,97,2083,1377,66.11,1
77,98,315,184,58.41,1
78,99,597,352,58.96,1
79,100,824,530,64.32,1
80,101,1251,735,58.75,1
81,102,429,289,67.37,1
82,111,2202,1368,62.13,1
83,112,2958,1693,57.23,1
84,113,2800,1685,60.18,1
85,114,954,676,70.86,1
86,115,3940,2290,58.12,1
87,116,1402,793,56.56,1
88,117,4342,2618,60.29,1
89,118,4103,2232,54.4,1
90,119,455,222,48.79,1
91,120,3080,1746,56.69,1
92,121,7594,4219,55.56,1
93,131,5794,2857,49.31,1
94,132,868,417,48.04,1
95,133,6339,2985,47.09,1
96,134,375,232,61.87,1
97,135,3023,1260,41.68,1
98,136,2694,1315,48.81,1
99,137,2266,946,41.75,1
100,138,5109,2494,48.82,1
101,139,2151,913,42.45,1
102,140,898,520,57.91,1
103,141,6644,2810,42.29,1
104,142,7948,3792,47.71,1
105,151,2253,869,38.57,1
106,152,2752,1277,46.4,1
107,153,3185,1749,54.91,1
108,154,5964,2542,42.62,1
109,155,4577,1983,43.33,1
110,156,5449,2454,45.04,1
111,157,1354,798,58.94,1
112,158,6148,2652,43.14,1
113,159,2530,1134,44.82,1
114,160,2270,907,39.96,1
115,161,5379,2014,37.44,1
116,171,1838,1273,69.26,1
117,172,2451,1320,53.86,1
118,173,1595,949,59.5,1
119,174,5759,3155,54.78,1
120,175,197,108,54.82,1
121,176,2073,1222,58.95,1
122,177,4513,2378,52.69,1
123,178,1871,1068,57.08,1
124,179,176,107,60.8,1
125,180,1497,859,57.38,1
126,181,828,581,70.17,1
127,182,479,290,60.54,1
128,191,7603,4099,53.91,1
129,192,3366,1710,50.8,1
130,193,2906,1358,46.73,1
131,194,2124,951,44.77,1
132,195,4163,2005,48.16,1
133,196,1510,782,51.79,1
134,197,1745,867,49.68,1
135,198,12217,5565,45.55,1
136,199,5926,3507,59.18,1
137,200,2373,1367,57.61,1
138,211,312,187,59.94,1
139,212,2,1,50.0,1
140,213,1027,544,52.97,1
141,214,487,274,56.26,1
142,215,362,178,49.17,1
143,216,702,401,57.12,1
144,217,1690,953,56.39,1
145,218,362,218,60.22,1
146,219,1497,825,55.11,1
147,220,468,331,70.73,1
148,221,1429,743,51.99,1
149,222,264,192,72.73,1
150,223,2271,1252,55.13,1
151,224,1135,658,57.97,1
152,225,1120,616,55.0,1
153,226,345,211,61.16,1
154,227,3161,1791,56.66,1
155,228,1568,1012,64.54,1
156,229,2866,1595,55.65,1
157,230,38659,15966,41.3,1
158,231,1956,1159,59.25,1
159,241,587,304,51.79,1
160,242,2390,1238,51.8,1
161,243,5745,3155,54.92,1
162,244,1643,984,59.89,1
163,245,2051,1060,51.68,1
164,246,1040,585,56.25,1
165,247,3478,1851,53.22,1
166,248,1882,878,46.65,1
167,249,1367,802,58.67,1
168,250,3351,1822,54.37,1
169,251,1499,894,59.64,1
170,261,124554,41586,33.39,1
